NAME,FACTION,S,P,E,C,I,A,L,BONUS,WEAPON,ARMOR,XP
molerat,creatures,3,2,3,1,1,5,5,U 10-20,molerat bite,"hide,hide,tough hide",25
scumbag,scum,3-5,4-5,5-6,1,3,5-6,6,"SG 25,M 25-35,U 25-35","knife,.22 pistol,switchblade,brass knuckles","leather jacket,leather jacket,leather armor",50
test,degub,10,10,10,10,10,10,10,"MD 100,AC 100,M 100",knife,tough hide,100
jailbot,ai,6,6,4,1,4,4,3,,switchblade,being a robot,100
wally,wally,5,4,3,1,1,3,2,"M 25,U 20","switchblade,brass knuckles,knife",leather jacket,100
bigol lizard,creatures,7-11,3,5,1,1,6,5,U 25-35,"lizard bite,lizard claws",tough hide,150
abomination,mutants,7-11,3,7,1,1,5-9,10,"HP 15-20,TH 50,U 15-35","bile,claw",tough hide,150
feral ghoul,mutants,4-6,3-5,1-6,1,1-3,4-7,5,U 5-20,claw,ghoul skin,100
ghoul child,mutants,2-4,2-4,4,1,1-3,10,5,U 10-20,"claw,bite",ghoul skin,100
cultist,mutants,4-6,4-7,7-8,4,3-5,4-9,5-7,M 25-45,knife,leather jacket,100
enclave gunner,enclave,4-5,6-8,5,2,5,6,3,"EW 30-40,SG 30-40","laser rifle,m16a2",enclave combat armor,500
enclave runner,enclave,6-8,5,6-8,3,3-5,8,6,"M 30-40,U 20","wakizashi blade,combat knife,spiked knuckles",enclave runner armor,500
enclave captain,enclave,8,8,8,10,8,8,8,"M 25,U 25,SG 25,EW 25,AP 2,HP 15",m2,enclave power armor,1000
commie ghost,chinese,3-6,3-4,3-4,1,4,3-4,5,"SG 25,M 25-35,U 25-35","chinese assault rifle,chinese assault rifle,combat knife",chinese uniform,150
commie sniper,chinese,3-4,6-8,3-4,1,5,6-7,7,"SG 50,U 25-35",hanyang 88,chinese uniform,300
